frame,id,timestamp(s),accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ,eulerRoll,eulerPitch,eulerYaw,quatW,quatX,quatY,quatZ,
147,1,3589.304,-0.041,-0.021,0.99,0.0,0.0,0.0,14,-12,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
148,1,3589.314,-0.045,-0.021,0.991,0.0,0.0,0.0,14,-12,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
149,1,3589.324,-0.044,-0.022,0.99,0.0,0.0,0.0,14,-12,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
150,1,3589.334,-0.047,-0.016,0.987,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
151,1,3589.344,-0.04,-0.023,0.987,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
152,1,3589.354,-0.044,-0.031,0.986,0.0,0.0,0.0,14,-11,-14,2.54,-1.25,-0.29,1.0,-0.011,0.022,-0.003,
153,1,3589.364,-0.046,-0.016,0.978,0.0,0.0,0.0,15,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
154,1,3589.374,-0.044,-0.017,0.987,0.0,0.0,0.0,15,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
155,1,3589.384,-0.039,-0.03,0.99,0.0,0.0,0.0,14,-11,-14,2.54,-1.25,-0.29,1.0,-0.011,0.022,-0.003,
156,1,3589.394,-0.042,-0.02,0.986,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
157,1,3589.404,-0.046,-0.021,0.987,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
158,1,3589.414,-0.043,-0.023,0.989,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
159,1,3589.424,-0.045,-0.02,0.99,0.0,0.0,0.0,14,-12,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
160,1,3589.434,-0.046,-0.019,0.99,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
161,1,3589.444,-0.043,-0.019,0.985,0.0,0.0,0.0,14,-12,-13,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
162,1,3589.454,-0.043,-0.023,0.988,0.0,0.0,0.0,14,-12,-13,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
163,1,3589.464,-0.048,-0.024,0.992,0.0,0.0,0.0,14,-11,-13,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
164,1,3589.474,-0.042,-0.021,0.984,0.0,0.0,0.0,14,-11,-13,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
165,1,3589.484,-0.043,-0.019,0.989,0.0,0.0,0.0,15,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
166,1,3589.494,-0.044,-0.021,0.989,0.0,0.0,0.0,15,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
167,1,3589.504,-0.044,-0.024,0.993,0.0,0.0,0.0,15,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
168,1,3589.514,-0.047,-0.02,0.988,0.0,0.0,0.0,15,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
169,1,3589.524,-0.046,-0.023,0.988,0.0,0.0,0.0,15,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
