Time,Speed,accX,accY,accZ,velocity_magnitude
3.729,1500,-0.09274863,0.00275824,-0.0038489,111.569054357428
3.739,1500,-0.11274863,-0.01024176,-0.0038489,111.569054357428
3.748,1500,0.08125137,0.02875824,-0.0118489,111.569054357428
3.759,1500,0.00525137,0.02075824,0.0361511,111.569054357428
3.769,1500,-0.01874863,-0.00224176,0.0151511,111.569054357428
3.778,1500,-0.04874863,0.02275824,0.0001511,111.569054357428
3.789,1500,-0.01974863,0.02375824,-0.0138489,111.569054357428
3.798,1500,-0.05774863,-0.00424176,-0.0268489,98.1411940738218
3.809,1500,-0.00374863,0.03575824,-0.0078489,98.1411940738218
3.819,1500,-0.05474863,0.01375824,0.0051511,98.1411940738218
3.828,1500,-0.13874863,-0.06024176,0.0121511,98.1411940738218
3.839,1500,0.01825137,0.00975824,0.0101511,98.1411940738218
3.849,1500,-0.06674863,0.01375824,-0.0108489,98.1411940738218
3.858,1500,-0.02674863,-0.00124176,-0.0028489,98.1411940738218
3.869,1500,-0.01474863,-0.00524176,-0.0378489,98.1411940738218
3.879,1500,0.06625137,0.00875824,0.0001511,98.1411940738218
3.888,1500,-0.04174863,-0.01824176,0.0041511,98.1411940738218
3.899,1500,-0.06874863,0.00375824,0.0031511,98.1411940738218
3.909,1500,0.02925137,0.01975824,0.0001511,98.1411940738218
3.918,1500,0.03225137,0.00475824,-0.0208489,98.1411940738218
3.929,1500,0.04525137,0.01975824,0.0111511,98.1411940738218
3.939,1500,-0.03174863,-0.00124176,-0.0348489,98.1411940738218
3.948,1500,-0.07474863,-0.00524176,-0.0508489,98.1411940738218
3.959,1500,0.01325137,0.01775824,0.0021511,98.1411940738218
3.968,1500,-0.00274863,-0.00224176,-0.0058489,98.1411940738218
3.979,1500,-0.03574863,-0.00724176,-0.0308489,98.1411940738218
3.989,1500,-0.00474863,0.03675824,-0.0058489,98.1411940738218
3.998,1500,-0.02974863,0.00375824,-0.0238489,98.1411940738218
4.009,1500,-0.06574863,0.00275824,0.0041511,98.1411940738218
4.019,1500,0.04425137,0.02875824,0.0701511,98.1411940738218
4.029,1500,0.01225137,0.01075824,-0.0078489,98.1411940738218
4.039,1500,-0.01174863,0.01375824,-0.0138489,98.1411940738218
4.049,1500,-0.02974863,0.02775824,-0.0038489,98.1411940738218
4.058,1500,0.05025137,0.01075824,-0.0338489,98.1411940738218
4.069,1500,0.04925137,-0.01524176,-0.0168489,98.1411940738218
4.079,1500,-0.02674863,0.01075824,-0.0088489,98.1411940738218
4.089,1500,0.01325137,0.01075824,-0.0028489,98.1411940738218
4.099,1500,0.01825137,0.00175824,0.0131511,98.1411940738218
4.108,1500,-0.04274863,0.01075824,-0.0268489,98.1411940738218
4.119,1500,-0.03174863,0.02275824,0.0041511,98.1411940738218
4.129,1500,0.04225137,-0.01924176,-0.0398489,98.1411940738218
4.138,1500,-0.06074863,0.00075824,-0.0708489,98.1411940738218
4.149,1500,-0.00974863,0.01975824,0.0321511,98.1411940738218
4.159,1500,0.00125137,-0.00924176,0.0451511,98.1411940738218
4.168,1500,0.06425137,0.02975824,0.0091511,98.1411940738218
4.179,1500,-0.01574863,-0.04324176,-0.0538489,98.1411940738218
4.189,1500,-0.04974863,-0.05224176,0.0021511,98.1411940738218
4.199,1500,-0.03874863,-0.07324176,0.0171511,98.1411940738218
4.209,1500,-0.07174863,-0.09824176,0.0041511,98.1411940738218
4.218,1500,-0.13274863,-0.12124176,-0.0628489,98.1411940738218
4.229,1500,-0.02474863,-0.09924176,0.0191511,98.1411940738218
4.239,1500,-0.04574863,-0.13024176,0.0061511,98.1411940738218
4.248,1500,-0.00274863,-0.11424176,0.0041511,98.1411940738218
4.259,1500,-0.02974863,-0.12124176,-0.0008489,98.1411940738218
4.269,1500,-0.02774863,-0.07424176,-0.0028489,98.1411940738218
4.279,1500,-0.02674863,-0.05524176,0.0021511,98.1411940738218
4.289,1500,-0.03074863,-0.05324176,0.0051511,98.1411940738218
4.299,1500,-0.01574863,-0.03724176,-0.0068489,98.1411940738218
4.309,1500,-0.03074863,-0.03724176,0.0041511,98.1411940738218
4.319,1500,-0.02074863,-0.01724176,0.0051511,88.4488048830527
4.328,1500,-0.01974863,-0.00924176,-0.0048489,88.4488048830527
